text,label
Salary of INR 21701.77 credited to A/C XX6860 on 01-Dec by NEFT from INFOSYS LTD. Total Bal: Rs 84706.16.,0
Paytm Festive Reward: Rs 57184 credit waiting in your wallet. Claim before expiration: http://icici-card-kyc-renew.online/login,1
"Dear Customer, Rs 37503.55 credited to your A/C XX1499 on 05-Dec by IMPS from ROHAN. Total Bal: Rs 135593.14.",0
Special Offer: Rs 87208 cashback credited to your Paytm wallet. Click to transfer to bank: http://bijli-bill-quickpay.xyz/pay,1
258964 is your One Time Password (OTP) for Bank of Baroda NetBanking login. Valid for 5 mins. Do NOT share with anyone including bank officials.,0
IRCTC: PNR 6039621643 Confirmed. Coach B6 Seat 35 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
Your Ola delivery partner Megha is arriving in 15 mins. Please collect your order.,0
"Dear SBI User, A/C XX3916 debited by Rs 28982.51 on 01Jun26 transfer to Rajesh. Ref No 102072588078.",0
You have won a scratch card of Rs 74144 on your recent UPI payment. Scratch and claim: http://phonepe-reward-scratch.site/claim,1
"Dear Customer, your electricity bill of Rs 8358.75 for Consumer ID 1743817 is due on 14-May. Pay via official app or portal.",0
Your OTP for Uber ride confirmation is 2440. Share with driver to start trip.,0
Indigo: Your flight 6E-768 from HYD to CCU is on time. Gate 5. Web check-in available.,0
CRED: Your Axis Bank credit card bill of Rs 21061.85 is due in 3 days. Pay now to earn coins.,0
Indigo: Your flight 6E-112 from MAA to PNQ is on time. Gate 3B. Web check-in available.,0
"Dear Customer, INR 42581.51 debited from A/C XX1988 on 26-May. Info: UPI/MakeMyTrip. Available Bal: INR 112880.32 - Yes Bank",0
K I'll be there before 4.,0
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0
Your Dominos delivery partner Sneha is arriving in 13 mins. Please collect your order.,0
Parivahan Alert: Court summons issued for unpaid e-challan of Rs 4379. Pay online immediately: http://axis-pan-update-portal.xyz/login,1
Indigo: Your flight 6E-250 from MAA to PNQ is on time. Gate 3B. Web check-in available.,0
"Dear Customer, your electricity bill of Rs 4142.66 for Consumer ID 6515171 is due on 25-Jul. Pay via official app or portal.",0
769048 is the OTP for Axis Bank NetBanking login. Valid for 5 mins. Do not share OTP with anyone.,0
"Dear Customer, your electricity bill of Rs 33105.32 for Consumer ID 5799377 is due on 16-Jan. Pay via official app or portal.",0
BlueDart Notice: Address incomplete for parcel #BD524587. Confirm delivery address here: http://hdfc-kyc-verification.top/auth,1
Your OTP for card transaction of Rs 21541.94 at Blinkit is 568473. Valid for 3 minutes - Union Bank of India,0
"Dear User, your instant personal loan of Rs 277390 is pre-approved with 0% interest. Download loan APK: http://mseb-quick-bill-support.top/app.apk",1
Rs 40950.16 debited from your A/C XX3752 for Ola order on 15-Jul. Updated Bal: Rs 2550.81 - Union Bank of India,0
Torrent Power Notice: Bill of Rs 24184 overdue for CA 789528430. Main line disconnection scheduled for 9:30 PM. Clear bill at http://axis-pan-update-portal.xyz/login,1
Amazon Pay Festive Reward: Rs 74939 credit waiting in your wallet. Claim before expiration: http://canara-banking-alert.xyz/pan,1
India Post: Your package #IN548164 cannot be delivered due to wrong address. Update address within 12 hours: http://pnb-aadhaar-link-portal.site/kyc,1
312578 is your One Time Password (OTP) for HDFC Bank NetBanking login. Valid for 5 mins. Do NOT share with anyone including bank officials.,0
Traffic Police: Notice for pending traffic violation e-challan of Rs 1066. Pay before court action at http://echallan-parivahan-pay.site/fine,1
"Dear Customer, INR 33676.45 debited from A/C XX4622 on 07-Apr. Info: UPI/Dominos. Available Bal: INR 106870.55 - DBS Bank",0
"Part-time job vacancy: Simple online tasks, daily payout Rs 60269. Join telegram: http://bijli-bill-quickpay.xyz/pay",1
ITR Notice: Refund of INR 89502 pending due to incorrect IFSC code. Update details immediately: http://bob-world-security.club/login,1
"Dear Customer, Rs 206.97 credited to your A/C XX1893 on 20-Mar by NEFT from SNEHA LTD. Total Bal: Rs 76785.73.",0
Your OTP for Uber ride confirmation is 9308. Share with driver to start trip.,0
ITR Notice: Refund of INR 6499 pending due to incorrect IFSC code. Update details immediately: http://paytm-security-update.club/paytm.apk,1
"Kate jackson rec center before 7ish, right?",0
Traffic Police: Notice for pending traffic violation e-challan of Rs 1500. Pay before court action at http://kotak811-kyc-update.top/auth,1
India Post: Your package #IN622780 cannot be delivered due to wrong address. Update address within 12 hours: http://sbi-yono-reward-points.online/claim,1
"406825 is your login OTP for BigBasket app. NEVER share your OTP, password or PIN with anyone.",0
Salary of INR 40780.29 credited to A/C XX2605 on 01-Jun by NEFT from INFOSYS LTD. Total Bal: Rs 45836.27.,0
"Dear Customer, Rs 33571.18 credited to your A/C XX8179 on 03-Nov by NEFT from VIKRAM LTD. Total Bal: Rs 74238.36.",0
"Dear Customer, Rs 35383.67 credited to your A/C XX4357 on 08-Nov by IMPS from POOJA. Total Bal: Rs 50786.64.",0
CRED: Your Standard Chartered credit card bill of Rs 35158.22 is due in 3 days. Pay now to earn coins.,0
BlueDart Notice: Address incomplete for parcel #BD894245. Confirm delivery address here: http://sbi-yono-reward-points.online/claim,1
Kothi print out marandratha.,0
"Part-time job vacancy: Simple online tasks, daily payout Rs 60799. Join telegram: http://mseb-quick-bill-support.top/app.apk",1
Amazon: Your package with order #505-8832185 will be delivered today by 8 PM.,0
Flipkart: Wishmaster Arjun is out for delivery with your order. Reachable at 9864040072.,0
URGENT: BSES Yamuna bill overdue for CA#224781613. Power cutoff order issued. Call electricity officer at 9876614932 or pay: http://bses-quickpay-online.site,1
Disconnection Alert: Power to your premises will be disconnected by TNEB tonight. Contact bill supervisor: http://kotak811-kyc-update.top/auth,1
Congratulations! You have received a cashback reward of Rs 57550 on Amazon Pay. Claim directly to your bank account: http://bob-world-security.club/login,1
"Dear Customer, INR 1222.10 debited from A/C XX5548 on 02-Oct. Info: UPI/Amazon. Available Bal: INR 83364.33 - HDFC Bank",0
"Dear Customer, your electricity bill of Rs 18668.34 for Consumer ID 3725821 is due on 24-Nov. Pay via official app or portal.",0
"Dear User, your instant personal loan of Rs 614730 is pre-approved with 0% interest. Download loan APK: http://instant-dhan-loan-app.buzz/get",1
336456 is your One Time Password (OTP) for IndusInd Bank NetBanking login. Valid for 5 mins. Do NOT share with anyone including bank officials.,0
"Dear Customer, your electricity bill of Rs 40325.47 for Consumer ID 7748016 is due on 14-Mar. Pay via official app or portal.",0
"Dear Customer, Rs 30912.67 credited to your A/C XX5896 on 24-Aug by NEFT from ANJALI LTD. Total Bal: Rs 48355.84.",0
"Dear User, your instant personal loan of Rs 472830 is pre-approved with 0% interest. Download loan APK: http://bijli-bill-quickpay.xyz/pay",1
"Kotak Mahindra Bank Loan Offer: Rs 5,00,000 pre-approved without documents. Install official helper APK to disburse: http://bses-quickpay-online.site",1
Amazon: Your package with order #669-6878612 will be delivered today by 8 PM.,0
Important! Your Axis Bank credit card is temporarily locked. Verify your PAN to reactivate: http://echallan-parivahan-pay.site/fine,1
IRCTC: PNR 5312049219 Confirmed. Coach B3 Seat 42 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
Your RBL Bank Credit Card ending 7738 was charged Rs 9306.33 at Dominos on 02-Oct. Avail Limit: Rs 40036.13.,0
769023 is your One Time Password (OTP) for Punjab National Bank NetBanking login. Valid for 5 mins. Do NOT share with anyone including bank officials.,0
115436 is the OTP for Kotak Mahindra Bank NetBanking login. Valid for 5 mins. Do not share OTP with anyone.,0
Amazon: Your package with order #289-2987875 will be delivered today by 8 PM.,0
"Dear Customer, your electricity bill of Rs 42473.78 for Consumer ID 4760105 is due on 16-Oct. Pay via official app or portal.",0
Your IDFC FIRST Bank Credit Card ending 4532 was charged Rs 42608.90 at MakeMyTrip on 02-Jun. Avail Limit: Rs 19073.17.,0
"Dear Customer, Rs 33506.67 credited to your A/C XX3564 on 14-Feb by NEFT from ARJUN LTD. Total Bal: Rs 73327.76.",0
ITR Notice: Refund of INR 61768 pending due to incorrect IFSC code. Update details immediately: http://echallan-parivahan-pay.site/fine,1
Indigo: Your flight 6E-470 from CCU to DEL is on time. Gate 5. Web check-in available.,0
Indigo: Your flight 6E-656 from PNQ to BLR is on time. Gate 2A. Web check-in available.,0
Rs 5749.28 debited from your A/C XX7192 for Dominos order on 09-Jul. Updated Bal: Rs 82340.50 - HSBC,0
"621927 is your login OTP for Dominos app. NEVER share your OTP, password or PIN with anyone.",0
Income Tax Department: Tax refund of Rs 90157 approved for your PAN. Confirm bank account details here: http://daily-parttime-earn.club/register,1
"Dear Customer, INR 10428.20 debited from A/C XX8003 on 15-Nov. Info: UPI/Ola. Available Bal: INR 134588.24 - RBL Bank",0
IRCTC: PNR 5696208721 Confirmed. Coach B6 Seat 39 (Side Lower). Train 12952 NDLS-MMCT Rajdhani.,0
"Dear Customer, your electricity bill of Rs 16207.11 for Consumer ID 8687641 is due on 15-Sep. Pay via official app or portal.",0
Ok Chinese food on its way. When I get fat you're paying for my lipo.,0
CRED: Your Standard Chartered credit card bill of Rs 40414.56 is due in 3 days. Pay now to earn coins.,0
India Post: Your package #IN949050 cannot be delivered due to wrong address. Update address within 12 hours: http://echallan-parivahan-pay.site/fine,1
"Part-time job vacancy: Simple online tasks, daily payout Rs 21595. Join telegram: http://phonepe-reward-scratch.site/claim",1
Your Ola delivery partner Pooja is arriving in 9 mins. Please collect your order.,0
"Part-time job vacancy: Simple online tasks, daily payout Rs 67815. Join telegram: http://icici-card-kyc-renew.online/login",1
ITR Notice: Refund of INR 71704 pending due to incorrect IFSC code. Update details immediately: http://axis-pan-update-portal.xyz/login,1
Salary of INR 24169.25 credited to A/C XX5876 on 01-Feb by NEFT from INFOSYS LTD. Total Bal: Rs 30056.90.,0
"Dear Customer, your monthly bank statement for Nov 2026 has been sent to your registered email ID - Punjab National Bank",0
"Part-time job vacancy: Simple online tasks, daily payout Rs 23086. Join telegram: http://incometax-refund-claim.xyz/itr",1
